ID,Station,Latitude,Longitude,Color
1,Airport,33.640758,-84.446341,
2,Arts Center,33.789705,-84.387789,
3,Ashby,33.756346,-84.417556,
4,Avondale,33.775277,-84.281903,
5,Bankhead,33.77189,-84.42884,
6,Brookhaven/Oglethorpe,33.860705,-84.340003,
7,Buckhead,33.84841,-84.367018,
8,Chamblee,33.8871,-84.3069,
9,Civic Center,33.766305,-84.387209,
10,College Park,33.651673,-84.448793,
11,Decatur,33.774717,-84.295588,
12,GWCC/CNN Center,33.756293,-84.397759,
13,Doraville,33.902079,-84.280389,
14,Dunwoody,33.9212,-84.3444,
15,East Lake,33.765166,-84.312665,
16,East Point,33.677814,-84.440344,
17,Edgewood/Candler Park,33.762001,-84.339579,
18,Five Points,33.753826,-84.391571,
19,Garnett,33.747845,-84.396415,
20,Georgia State,33.750539,-84.386464,
21,H. E. Holmes,33.754638,-84.46794,
22,Indian Creek,33.769794,-84.229656,
23,Inman Park/Reynoldstown,33.757497,-84.352797,
24,Kensington,33.772664,-84.251937,
25,King Memorial,33.749959,-84.37544,
26,Lakewood/Fort McPherson,33.700457,-84.428859,
27,Lenox,33.847144,-84.35631,
28,Lindbergh Center,33.821995,-84.367447,
29,Medical Center,33.910689,-84.352684,
30,Midtown,33.781121,-84.386345,
31,North Avenue,33.771712,-84.386699,
32,North Springs,33.944552,-84.356206,
33,Oakland City,33.716848,-84.4252,
34,Peachtree Center,33.759677,-84.387548,
35,Sandy Springs,33.933035,-84.352019,
36,Vine City,33.75687,-84.40391,
37,West End,33.73581,-84.41296,
38,West Lake,33.75314,-84.44658,
39,Avalon,34.06903,-84.27328,
40,Norcross,33.928671,-84.239103,
41,Milton,34.12131,-84.34476,
42,Duluth,33.980947,-84.159798,
43,East Duluth,34.023695,-84.111909,
44,Suwanee,34.062701,-84.061408,
45,Roswell,34.02606,-84.31632,
46,Buford,34.139664,-83.990793,
47,Sugar Hill,34.091028,-84.039447,
48,East Johns Creek,34.085543,-84.135827,
49,Six Flags Over GA,33.772645,-84.554607,
50,Johns Creek,34.03682,-84.20639,
51,Adamsville,33.764812,-84.506207,
52,Clarkston,33.806161,-84.241749,
53,Tucker,33.855373,-84.201778,
54,Stone Mountain,33.79817,-84.169334,
55,Redan,33.742281,-84.16822,
56,Smyrna,33.8746,-84.50705,
57,Kennesaw,34.0268,-84.61832,
58,West Lawrenceville,33.958065,-84.006059,
59,Hiram,33.87252,-84.76061,
60,Loganville,33.847979,-83.904301,
61,Holy Springs,34.17577,-84.45034,
62,Woodstock,34.10097,-84.48098,
63,Central Snellville,33.859324,-84.022395,
64,Lilburn,33.900426,-84.077397,
65,Marietta/Lockheed,33.927213,-84.508775,
66,Dacula,33.97785,-83.904,
67,Kennesaw State Univ,33.940396,-84.524691,
68,West Snellville,33.849898,-83.969098,
69,Hapeville,33.66173,-84.42504,
70,East Cobb,33.978515,-84.44916,
71,Forest Park,33.60992,-84.37657,
72,Grayson,33.895086,-83.952186,
73,Lake City,33.60298,-84.33646,
74,Westminister,33.844507,-84.430559,
75,Lithonia,33.71483,-84.11652,
76,The Meadows,33.727628,-84.185292,
77,Emory,33.795658,-84.320135,
78,CDC,33.801358,-84.332113,
79,Powder Springs,33.86359,-84.68187,
80,North Druid Hills,33.811766,-84.292154,
81,Arabia Mountain,33.663411,-84.137137,
82,Acworth,34.04986,-84.66677,
83,East Stonecrest,33.704296,-84.101768,
84,West Stonecrest,33.704146,-84.179326,
85,North Point,34.046278,-84.303243,
86,Lost Mountain Park,33.93918,-84.69634,
87,Powder Creek Crossing,33.91223,-84.74437,
88,West Buckhead,33.843269,-84.38718,
89,Lake Lucile,33.89367,-84.70145,
90,Mt Tabor Park,33.94581,-84.76747,
91,Alpharetta,34.071984,-84.301997,
92,City of South Fulton Station,33.6467,-84.59056,
93,Peachtree Corners,33.97533,-84.219611,
94,Sweetwater Creek State Park,33.75087,-84.63142,
95,Berkeley Lake,33.96305,-84.186076,
96,Cumming,34.21598,-84.12571,
97,Bell Memorial Park,34.15227,-84.2847,
98,Big Creek,34.195016,-84.14107,
99,Fowler Park,34.15309,-84.21351,
100,Noonday,34.06076,-84.5079,
101,East Cobb,34.014345,-84.4327,
102,Sandy Plains,34.014669,-84.490919,
103,Gwinnett Village/GACS,33.921114,-84.17511,
104,Wheeler,33.957175,-84.479403,
105,Northlake,33.83995,-84.245279,
106,Tomahawk,34.11693,-84.41136,
107,East Marietta,33.960107,-84.523958,
108,Downtown Marietta,33.955004,-84.554764,
109,Hickory Flat,34.16898,-84.42101,
110,Mall of Georgia,34.065414,-83.979682,
111,Buford Exchange,34.04687,-83.992015,
112,West Field,34.02939,-84.41745,
113,Gwinnett Airport,33.97522,-83.960938,
114,South Buford,34.08744,-83.996487,
115,North Snellville,33.919946,-83.982321,
116,Sugarloaf,33.984015,-84.083637,
117,Flat Rock,33.65411,-84.16436,
118,Lawrenceville,33.96183,-83.984168,
119,Hobgood Park,34.13177,-84.58969,
120,Wildwood,33.99998,-84.75461,
121,Roxana,33.96091,-84.75086,
122,Oregon Park,33.96145,-84.66294,
123,Allatoona Creek Park,34.02293,-84.71365,
124,Downtown Roswell,34.024695,-84.359892,
125,North Roswell,34.074384,-84.364463,
126,Old Clarkdale Park,33.825147,-84.66729,
127,Wild Horse,33.876744,-84.664588,
128,Sandtown,33.698269,-84.571944,
129,Collinsville,33.703757,-84.086155,
130,Silver Comet Trail,33.84159331,-84.51661728,
131,Hurt Road Park,33.86556153,-84.58172009,
132,Mud Creek,33.89388849,-84.63498981,
133,Cheatham Hill ,33.94433512,-84.60716319,
134,Woodrow Willson Park,33.78994192,-84.63866771,
135,Horseshoe Bend ,33.98525447,-84.29181082,
136,Jones Bridge Park,34.00676212,-84.23625801,
137,East Cobb Park,33.97764095,-84.45265273,
138,Gold Branch Trail,33.98527896,-84.38552656,
139,Sope Creek ,33.94146931,-84.44129125,
140,Bryson Park,33.89192816,-84.15006614,
141,Mountain Park,33.84650605,-84.11799152,
142,Yellow River Park,33.79180599,-84.07348823,
143,Briscoe Park,33.84444743,-84.00734802,
144,McDaniel Farm,33.96806458,-84.12680115,
145,Exchange Park,33.70697134,-84.25492688,
146,Village Park,33.62676752,-84.25449935,
147,Browns Mill Park,33.6831005,-84.37539064,
148,Lake Charlotte Preserve,33.67210741,-84.35636098,
149,Melvin Drive Park,33.70887984,-84.51406594,
